"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-10",333,0.237
"WHI-B-10",334,0.233
"WHI-B-10",335,0.228
"WHI-B-10",336,0.224
"WHI-B-10",337,0.219
"WHI-B-10",338,0.215
"WHI-B-10",339,0.211
"WHI-B-10",340,0.209
"WHI-B-10",341,0.203
"WHI-B-10",342,0.199
"WHI-B-10",343,0.195
"WHI-B-10",344,0.191
"WHI-B-10",345,0.187
"WHI-B-10",346,0.183
"WHI-B-10",347,0.181
"WHI-B-10",348,0.177
"WHI-B-10",349,0.172
"WHI-B-10",350,0.169
"WHI-B-10",351,0.165
"WHI-B-10",352,0.162
"WHI-B-10",353,0.159
"WHI-B-10",354,0.155
"WHI-B-10",355,0.152
"WHI-B-10",356,0.149
"WHI-B-10",357,0.145
"WHI-B-10",358,0.142
"WHI-B-10",359,0.138
"WHI-B-10",360,0.135
"WHI-B-10",361,0.132
"WHI-B-10",362,0.13
"WHI-B-10",363,0.127
"WHI-B-10",364,0.124
"WHI-B-10",365,0.121
"WHI-B-10",366,0.118
"WHI-B-10",367,0.115
"WHI-B-10",368,0.112
"WHI-B-10",369,0.11
"WHI-B-10",370,0.107
"WHI-B-10",371,0.105
"WHI-B-10",372,0.103
"WHI-B-10",373,0.101
"WHI-B-10",374,0.098
"WHI-B-10",375,0.096
"WHI-B-10",376,0.094
"WHI-B-10",377,0.091
"WHI-B-10",378,0.09
"WHI-B-10",379,0.087
"WHI-B-10",380,0.085
"WHI-B-10",381,0.083
"WHI-B-10",382,0.082
"WHI-B-10",383,0.08
"WHI-B-10",384,0.078
"WHI-B-10",385,0.076
"WHI-B-10",386,0.074
"WHI-B-10",387,0.072
"WHI-B-10",388,0.07
"WHI-B-10",389,0.069
"WHI-B-10",390,0.067
"WHI-B-10",391,0.066
"WHI-B-10",392,0.064
"WHI-B-10",393,0.062
"WHI-B-10",394,0.061
"WHI-B-10",395,0.06
"WHI-B-10",396,0.058
"WHI-B-10",397,0.056
"WHI-B-10",398,0.055
"WHI-B-10",399,0.054
"WHI-B-10",400,0.053
"WHI-B-10",401,0.051
"WHI-B-10",402,0.05
"WHI-B-10",403,0.049
"WHI-B-10",404,0.048
"WHI-B-10",405,0.047
"WHI-B-10",406,0.046
"WHI-B-10",407,0.045
"WHI-B-10",408,0.044
"WHI-B-10",409,0.042
"WHI-B-10",410,0.041
"WHI-B-10",411,0.04
"WHI-B-10",412,0.039
"WHI-B-10",413,0.038
"WHI-B-10",414,0.038
"WHI-B-10",415,0.037
"WHI-B-10",416,0.036
"WHI-B-10",417,0.035
"WHI-B-10",418,0.034
"WHI-B-10",419,0.033
"WHI-B-10",420,0.033
"WHI-B-10",421,0.032
"WHI-B-10",422,0.031
"WHI-B-10",423,0.03
"WHI-B-10",424,0.03
"WHI-B-10",425,0.029
"WHI-B-10",426,0.028
"WHI-B-10",427,0.028
"WHI-B-10",428,0.027
"WHI-B-10",429,0.027
"WHI-B-10",430,0.026
"WHI-B-10",431,0.026
"WHI-B-10",432,0.025
"WHI-B-10",433,0.025
"WHI-B-10",434,0.024
"WHI-B-10",435,0.024
"WHI-B-10",436,0.023
"WHI-B-10",437,0.023
"WHI-B-10",438,0.022
"WHI-B-10",439,0.022
"WHI-B-10",440,0.021
"WHI-B-10",441,0.021
"WHI-B-10",442,0.02
"WHI-B-10",443,0.02
"WHI-B-10",444,0.02
"WHI-B-10",445,0.019
"WHI-B-10",446,0.019
"WHI-B-10",447,0.018
"WHI-B-10",448,0.018
"WHI-B-10",449,0.018
"WHI-B-10",450,0.017
"WHI-B-10",451,0.017
"WHI-B-10",452,0.017
"WHI-B-10",453,0.016
"WHI-B-10",454,0.016
"WHI-B-10",455,0.016
"WHI-B-10",456,0.016
"WHI-B-10",457,0.015
"WHI-B-10",458,0.015
"WHI-B-10",459,0.015
"WHI-B-10",460,0.014
"WHI-B-10",461,0.014
"WHI-B-10",462,0.014
"WHI-B-10",463,0.014
"WHI-B-10",464,0.013
"WHI-B-10",465,0.013
"WHI-B-10",466,0.013
"WHI-B-10",467,0.013
"WHI-B-10",468,0.012
"WHI-B-10",469,0.012
"WHI-B-10",470,0.012
"WHI-B-10",471,0.012
"WHI-B-10",472,0.012
"WHI-B-10",473,0.011
"WHI-B-10",474,0.011
"WHI-B-10",475,0.011
"WHI-B-10",476,0.011
"WHI-B-10",477,0.01
"WHI-B-10",478,0.01
"WHI-B-10",479,0.01
"WHI-B-10",480,0.01
"WHI-B-10",481,0.01
"WHI-B-10",482,0.01
"WHI-B-10",483,0.009
"WHI-B-10",484,0.009
"WHI-B-10",485,0.009
"WHI-B-10",486,0.009
"WHI-B-10",487,0.009
"WHI-B-10",488,0.009
"WHI-B-10",489,0.008
"WHI-B-10",490,0.008
"WHI-B-10",491,0.008
"WHI-B-10",492,0.008
"WHI-B-10",493,0.008
"WHI-B-10",494,0.008
"WHI-B-10",495,0.007
"WHI-B-10",496,0.007
"WHI-B-10",497,0.007
"WHI-B-10",498,0.007
"WHI-B-10",499,0.007
"WHI-B-10",500,0.007
"WHI-B-10",501,0.007
"WHI-B-10",502,0.007
"WHI-B-10",503,0.007
"WHI-B-10",504,0.006
"WHI-B-10",505,0.006
"WHI-B-10",506,0.006
"WHI-B-10",507,0.006
"WHI-B-10",508,0.006
"WHI-B-10",509,0.006
"WHI-B-10",510,0.006
"WHI-B-10",511,0.006
"WHI-B-10",512,0.005
"WHI-B-10",513,0.005
"WHI-B-10",514,0.005
"WHI-B-10",515,0.005
"WHI-B-10",516,0.005
"WHI-B-10",517,0.005
"WHI-B-10",518,0.005
"WHI-B-10",519,0.005
"WHI-B-10",520,0.005
"WHI-B-10",521,0.005
"WHI-B-10",522,0.005
"WHI-B-10",523,0.005
"WHI-B-10",524,0.004
"WHI-B-10",525,0.004
"WHI-B-10",526,0.004
"WHI-B-10",527,0.004
"WHI-B-10",528,0.004
"WHI-B-10",529,0.004
"WHI-B-10",530,0.004
"WHI-B-10",531,0.004
"WHI-B-10",532,0.004
"WHI-B-10",533,0.004
"WHI-B-10",534,0.004
"WHI-B-10",535,0.003
"WHI-B-10",536,0.003
"WHI-B-10",537,0.003
"WHI-B-10",538,0.003
"WHI-B-10",539,0.003
"WHI-B-10",540,0.003
"WHI-B-10",541,0.003
"WHI-B-10",542,0.003
"WHI-B-10",543,0.003
"WHI-B-10",544,0.003
"WHI-B-10",545,0.003
"WHI-B-10",546,0.003
"WHI-B-10",547,0.003
"WHI-B-10",548,0.003
"WHI-B-10",549,0.003
"WHI-B-10",550,0.003
"WHI-B-10",551,0.003
"WHI-B-10",552,0.003
"WHI-B-10",553,0.003
"WHI-B-10",554,0.003
"WHI-B-10",555,0.002
"WHI-B-10",556,0.002
"WHI-B-10",557,0.002
"WHI-B-10",558,0.002
"WHI-B-10",559,0.002
"WHI-B-10",560,0.002
"WHI-B-10",561,0.002
